Reported on,Co. Name,Ext. Requestor,Property Name,Category,Order Group Description,Floor/unit or space,"Breakdown?
(Yes/No)",Description,Nature of feedback/complants (& Finding),Action taken,Start date & time,Acknowledged date,Technically completed on,Status,Customer/ FED Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2017 12:13,REAL TIME ENGINEERING PTE LTD,Azman Bin Talip,CleanTech 1,Others/Request for Information,Security & Safety Services,,,Tenant request for access to Rooftop,Azman came to office to request for technician to bring him up to rooftop for checking of his cooling tower,,,3/3/2017 11:17,3/3/2017 11:17,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2017 14:35,NANYANG TECHNOLOGICAL UNIVERSITY (NEWRI & ERI@N),Kitin Peter Borissov,CleanTech 1,Others/Request for Information,Security & Safety Services,,,Tenant request for access to rooftop,Kitin requested for access to rooftop until end Jun for him to do gardening works on the rooftop for experimental purposes,,,3/3/2017 11:19,3/3/2017 11:19,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2017 14:36,,,ARC67,Others/Request for Information,Sanitory Plumbing,,,517 - Plumbing parts replacement,Reference JTCG12-000517 - To supply and replace plumbing parts at various toilets at block 67 Ayer Rajah Crescent,,,3/3/2017 15:16,,Cancelled,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2017 14:47,,,ARC67,Others/Request for Information,Sanitory Plumbing,,,517 - Replace plumbing parts at various toilets,For Quotation Reference JTCG12-000517 - Replace faulty sensor and power units for L5 & 6 (LW) M/T and L3 pantry sink tap.,,,3/9/2017 11:52,3/23/2017 13:56,PE review required,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2017 14:55,NANYANG TECHNOLOGICAL UNIVERSITY (NEWRI & ERI@N),Wang Peng Hui,CleanTech 1,Others/Request for Information,Security & Safety Services,,,Tenant request for access to Nursing Room at #05-14,"Peng Hui requested for her access card to be activated for access to Nursing Room #05-14 as she has just returned from maternity leave, need to express breast milk",,,3/3/2017 11:20,3/3/2017 11:20,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2017 8:26,,,SE-HUB,Feedback,Lift,,No,PLB-ABNORMAL NOISE DURING OPERATION,CS FSP 17006244 -PLB NOISY DURING OPERATION.,,,,,Reported,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2017 9:16,,,ARC20,Others/Request for Information,Electrical,,,00559 To supply electrical accessories for ARC1,,,,,,Reported,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 11:00,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Ivy (Genome Institute of Singapore),Genome,Feedback,Cleaning & Conservancy,Female Washroom,,Dirty Toilet,L2 Female Toilet - Dirty,,,3/4/2017 11:05,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 11:27,,,ARC71,Others/Request for Information,Lift,Passenger Lift Lobby,,Supply and Install Lift Level indicator,Supply and Install Lift Level indicator,,,3/7/2017 13:22,,Accepted,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 11:46,,,ARC71,Feedback,Building,,,Supply and replacement of defective Mailbox Locksets,Supply and replacement of defective Mailbox Locksets,,,3/7/2017 13:20,,Accepted,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 11:50,,,ARC71,Others/Request for Information,Building,,,Supply and Install New tenant directory 01-22,Supply and Install New tenant directory 01-22 - new tenant at blk 71 Shentilium Pte Ltd,,,3/7/2017 13:19,,Accepted,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 11:58,,,ARC73,Feedback,Sanitory Plumbing,,,Supply and replacement of defective sanitary and plumbing fixtures,Supply and replacement of defective sanitary and plumbing fixtures - Blk 73 and 79,,,3/7/2017 12:51,,Accepted,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 12:28,,,ARC79,Others/Request for Information,Lift,Lifts,,Supply and install Lift Indicator level signage,Supply and install Lift Indicator level signage,,,3/7/2017 13:06,,Approval required to use QP,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 12:33,,,ARC71,Others/Request for Information,Building,Loading Bay,,Painting of yellow line along the edge of corridor at LW,Painting of yellow line along the edge of corridor at LW,,,3/7/2017 15:31,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 12:38,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Arif,Matrix,Feedback,Sanitory Plumbing,Male Washroom 1,,Toilet not flushing,Level 7 Male Toilet - WC no.1 no water flow.,,,3/4/2017 12:49,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 12:52,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Noraini (Bioinformatics Institute),Matrix,Feedback,Sanitory Plumbing,Male Washroom 1,,Toilet not flushing,Level 07 Male Toilet - WC no.1 low water pressure.,,,3/4/2017 13:00,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 13:00,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Arif,Proteos,Feedback,Fire Fighting/Alarm System,Passenger Lift Lobby,No,To replace Sprinkler cap,Level 2 Common Area - To replace sprinkler cap.,,,3/4/2017 13:05,,Accepted,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 13:07,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Azan,Genome,Feedback,Building,Passenger Lift Lobby,,Metal strip loose at the wall,Level 8 Passenger Lift Lobby - Metal strip loose at the wall,,,3/4/2017 13:09,3/15/2017 18:21,PE review required,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 13:12,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,Pathma,Helios,Feedback,Air Conditioning,Security Command Centre,No,A/C unit leaking,L1 SCC Room - Aircon leaking,,,3/4/2017 13:14,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 13:17,INSTITUTE OF MOLECULAR AND CELL BIOLOGY,Ms Mega,Proteos,Complaints,Toilet,Passenger Lift Lobby,,Dirty Toilet,L2 Female Toilet - Female toilet dirty.,,,3/4/2017 13:20,,In progress,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 13:21,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Arif,Matrix,Feedback,Toilet,Male Washroom 2,,Hand soap dispenser faulty.,L5 Male Toilet - Hand soap dispenser faulty.,,,3/4/2017 13:24,3/15/2017 18:20,PE review required,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2017 13:26,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Heng (Kleenplus),Centros,Feedback,Sanitory Plumbing,Female Washroom,,Toilet not flushing,Level 1 Female Toilet - WC no.2 no water flow.,,,3/4/2017 13:28,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2017 7:44,,,SE-HUB,Others/Request for Information,Service,,,SEH Singtel bill for 09Feb17-01Mar17,FCC Singtel bill no.0040 for the period of 09Feb17-01Mar17,,,,,Reported,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2017 10:48,,,ARC73,Others/Request for Information,Building,,,Reinstatement Work for Building Work at Blk 73 #01-25 Ayer Rajah,"RE: Reinstatement Work for Building Work at Blk 73 #01-25 Ayer Rajah						
						
With reference to the above mentioned job request, we are pleased to quote you for the following works:						
						
S/NO 	SOR	DESCRIPTION	UNIT	QTY	RATE	AMOUNT
1	SB-7-365	Supply & install Showa CL-05-2510-US 32D lever-handle lockset	nos.	1.00	 $145.00 	 $145.00 
						
		---Nothing Follows---				
						
			Total			 $145.00 
			Add 5% Adjustment			 $7.25 
			Total			 $152.25 
			Add 7% GST			 $10.66 
			Grand Total			 $162.91",,,3/8/2017 14:24,,Acknowledged,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2017 18:34,,,ARC73,Others/Request for Information,Building,,,Repainting of The Meeting Point Flooring,Repainting of The Meeting Point Flooring,,,,,Reported,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:11,DTZ FACILITIES & ENGINEERING (,,Matrix,Feedback,Electrical,Generator room,No,Replacement of 12 nos of rechargeable battery for standby generator.,"During the routine servicing of the standby generator at Matrix Level 1, (G6) found that the generator cannot run (start). Checked and trouble shooting the defect, found one of the rechargeable battery spoilt due to wear and tear. Need to be replaced. The recommended is to replace all the batteries (12 nos). Last replacement was in year 2013. (RA: Biopolis/Generator - 006) (SO: 17-73358) (FEMS 12154)",,,3/7/2017 11:46,3/16/2017 10:49,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:20,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North light blinking inside PL33.  C&W tech checked and replaced 1no 2ft T8 18w fluorescent light.,,,3/7/2017 11:31,3/7/2017 17:49,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:32,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South light blown inside PL14.  C&W tech checked and replaced 2nos 2ft T8 18w fluorescent lights and 2nos starter.,,,3/7/2017 11:37,3/7/2017 18:02,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:37,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Light flickering,Connexis South light flickering inside PL16.  C&W tech checked and replaced 1no 2ft T8 fluorescent tube and 1no starter.,,,3/7/2017 11:41,3/7/2017 18:03,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:42,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South light blown inside PL17.  C&W tech checked and replaced 2nos 2ft T8 18w fluorescent light and 2nos starter.,,,3/7/2017 11:45,3/7/2017 18:03,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:44,,,Helios,Feedback,Building,,,Building works at multiple locations,"a) #01-04: To replace ceiling boards due to the wet ceiling boards due to water seepage
b) #04-04 to #04-11: To repaint the mouldy walls at the corridor
c) #08-10/11: To replace 1 no. of door lockset
d) B1 FLL: To replace 1 no. of door lockset
e) #01 Lobby: To supply and install Company directories name (#04-10/11 & 05-03/06 Roquette Asia)
f) #06 PLL C,D,E: To refix the loose wall tiles at the lobby
g) #05 PLL: To cut open an access panel for the aircon and IBMS servicing and replacement of parts
RA: BD/GF/08/12/16/25/26/39 SO:17-73359 FEMS:12159.00",,,3/8/2017 10:55,3/15/2017 15:19,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:46,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,SYMBIOSIS,Feedback,lighting,,,Replace light tube/bulb,Symbiosis light blown inside PL10.  C&W tech checked and replaced 1no 2ft T8 18w fluorescent light.,,,3/7/2017 11:49,3/7/2017 18:07,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 11:49,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South L11 toilet corridor going to Staircase D exit light blown.  C&W tech checked and replaced 1no 1ft T8 10w exit light and 1no starter.,,,3/7/2017 11:54,3/7/2017 18:05,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 12:00,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,Lift,,,Lift door open and close noisy,Connexis South PL19 door open and close noisy.  C&W tech checked and immediately called Schindler hotline.  Replaced car door roller and lift back to normal.,,,3/7/2017 12:03,3/7/2017 18:06,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 14:28,NANYANG TECHNOLOGICAL UNIVERSITY (NEWRI & ERI@N),Ong Hueh Chuah,CleanTech 1,Feedback,Building,,,Tenant feedback on water ingress at #05-13,Mr Ong emailed to Royston to feedback that there is water ingress issue at their laboratory #05-13,,,3/15/2017 16:58,,In progress,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 14:30,DTZ FACILITIES & ENGINEERING (,,Chromos,Others/Request for Information,DI water system,DI Water Plantroom,,Replacement RO PVC pipe to Stainless Steel pipe for DI water plant room.,"Received complaint that DI water plant room flooded. Checked and found that the RO PVC pipe burst and need replacement :-
(1) Supply labours (2man x 3hrs - Sun) to attend urgent call, le-shooting and rectified the defect. Work included temporary by-pass the RO system using Mixed Bed Colum.
(2) Supply labours (2man x 7hrs), tools materials to fabricate and replace faulty RO PVC pipe to stainless steel piping included housekeeping, testing and commissioning.
(RA/EPS/0713/001) (SO: 17-73374) (FEMS 12163)troub",,,3/7/2017 15:01,3/16/2017 10:56,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 14:43,DHI WATER & ENVIRONMENT (S) PTE. LTD.,Yeo Meng Keat,CleanTech 1,Feedback,Air Conditioning,,No,A/c too hot/cold,"Chiller system tripped due to BMS, reset chiller",,,3/9/2017 11:18,3/15/2017 17:11,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 14:55,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North L1 Staircase F light blown.  C&W tech checked and replaced 1no 4ft T8 36w fluorescent light and 1no starter.,,,3/7/2017 15:02,3/7/2017 18:07,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 16:33,,,Helios,Feedback,Building,,,Window leak (rain/water),"a) #07-08 (Abbott): To seal up wall cracks, repaint the area and seal the sides of the glass panel using silicon
b) #08-06 (Bruker): To seal up the sides of the glass panel
c) #04-07/08 (Vacant unit): To reduce the humidity levels within the corridor, to seal up the fresh air lourvers 
d) #12-06 (HSA): To seal up the sides of the glass panel and repaint the wall
RA:BD/GF/13/16/34 SO:17-73361 FEMS:12167.01",,,3/7/2017 16:43,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 16:45,DTZ FACILITIES & ENGINEERING (,,Matrix,Others/Request for Information,Security system,Main Lobby,,Relocation of cameras at Matrix and Proteos Lobbies.,"Relocation 2nos of cameras at Matrix and Proteos Lobby including install new GI conduit and Net work cabling.
Supply skilled labours to run new GI conduit with cabling to relocate cameras including testing and commissioning:-

(A) Provision of manpower (Engineer) for relocation of 1no of Fixed Camera at Proteos lobby (3man x 3hrs).
(B) Provision of manpower (Engineer) for Testing & Commissioning at Proteos lobby. (2man x 3hrs)
(C) Supply Cat 6/m Network Cabling at Proteos Lobby.
(D) Supply GI conduit/m at Proteos Lobby.
(E) Provision of manpower (Engineer) for Relocation of 1 no of PTZ Camera at Matrix Lobby. (3man x 3hrs)
(F) Supply Cat 6/m Network Cabling at Matrix Lobby.
(G) Supply GI conduit/m at Matrix Lobby.
(I) Provision of manpower (Engineer) for Testing & Commissioning at Matrix lobby. (2 man x 3 hrs)
(RA/SVR/R165/007-R2) (SO: 17-73351) (FEMS 12169)",,,3/7/2017 17:26,3/16/2017 10:43,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 16:47,,,Helios,Feedback,Building,Fire Fighting Lobby,,Repair of water seepage from retaining wall,"B3 FLL: To repair leakage using PU grouting from retaining wall
RA: BD/GF/34 SO:17-73362 FEMS:12168.00",,,3/7/2017 16:54,3/15/2017 11:10,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 17:24,,,Matrix,Feedback,Building,,,Building works at multiple locations,"a) #01 FCC Room: To repair leakage by carrying out PU grouting at the ceiling
b) #05-01: To seal up the sides of glass panel
c) #2M: To relay and replace the damaged floor tiles
d) B1 loading bay: To replace damaged railing
RA:BD/GF/13/26/34 SO:17-73363 FEMS:12170.00",,,3/7/2017 17:46,3/15/2017 11:27,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 17:47,,,Matrix,Feedback,Building,,,Wall Cracks,"To prepare for the VIP event in Mar 2017, to paint up the walls and ceiling at level 4 corridor
RA: BD/GF/16 SO:17-73366 FEMS:12171.01",,,3/7/2017 17:56,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 19:59,,,ARC20,Feedback,Sanitory Plumbing,,,00561 Level 4 C-side MCT Urinal 1,JTCG12-00561 Level 4 C-side MCT Urinal 1,,,,,Reported,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2017 9:49,CUSHMAN & WAKEFIELD (S) PTE LTD,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North L8 Staircase E exit light blown. C&W tech checked and found the exit light is beyond repair and many parts were defective. Replaced with new complete set of exit light on 07 Mar 2017.,,,3/8/2017 9:59,3/8/2017 13:27,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2017 9:59,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South L4 Transformer Rm1 exit light blown.  C&W tech checked and replaced 1no T8 10w exit light and 1no starter.,,,3/8/2017 13:28,3/8/2017 13:29,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
